keys;pl
PK21O2;samochód z napisem POLICJA (skręcający w lewo)
PK21O3;rower
PK21DO;B
PK22;Który pojazd opuści to skrzyżowanie jako ostatni?
PK22O1;samochód z prawej strony
PK22O2;rower
PK22O3;samochód z napisem POLICJA (skręcający w lewo)
PK22DO;C
PK23;Który pojazd opuści to skrzyżowanie jako drugi?
PK23O1;rower
PK23O2;samochód z prawej strony
PK23O3;pojazd uprzywilejowany
PK23DO;A
PK24;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK24O1;rower
PK24O2;samochód z prawej strony
PK24O3;pojazd uprzywilejowany
PK24DO;C
PK25;Który pojazd opuści to skrzyżowanie jako drugi?
PK25O1;samochód z prawej strony
PK25O2;pojazd uprzywilejowany
PK25O3;rower
PK25DO;A
PK26;W tej sytuacji rowerzysta:
PK26O1;przejedzie pierwszy
PK26O2;ustępuje pierwszeństwa pojazdowi z napisem POLICJA
PK26O3;ustępuje pierwszeństwa pojazdowi z prawej strony
PK26DO;A
PK27;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK27O1;rowerzysta – pojazd z napisem POLICJA – pojazd z napisem AMBULANS
PK27O2;pojazd z napisem AMBULANS – rowerzysta – pojazd z napisem POLICJA
PK27O3;pojazdy uprzywilejowane – rowerzysta
PK27DO;C
PK28;Który pojazd opuści to skrzyżowanie jako ostatni?
PK28O1;rower
PK28O2;pojazd z prawej strony
PK28O3;pojazd uprzywilejowany
PK28DO;B
PK29;Który pojazd opuści to skrzyżowanie jako drugi?
PK29O1;rower
PK29O2;samochód z prawej strony
PK29O3;samochód z lewej strony
PK29DO;C
PK30;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK30O1;samochód z prawej strony
PK30O2;rower
PK30O3;samochód z lewej strony
PK30DO;B
PK31;W tej sytuacji rowerzysta:
PK31O1;przejedzie pierwszy
PK31O2;ma pierwszeństwo przed pojazdem z napisem STRAŻ POŻARNA
PK31O3;przejedzie ostatni
PK31DO;C
PK32;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK32O1;rowerzysta – pojazd skręcający w prawo – pojazd z prawej strony
PK32O2;rowerzysta – pojazd z prawej strony – pojazd skręcający w prawo
PK32O3;pojazd z prawej strony – pojazd skręcający w prawo – rowerzysta
PK32DO;A
PK33;Który pojazd opuści to skrzyżowanie jako ostatni?
PK33O1;samochód z prawej strony
PK33O2;samochód z lewej strony
PK33O3;rower
PK33DO;C
PK34;Który pojazd opuści to skrzyżowanie jako ostatni?
PK34O1;rower
PK34O2;samochód z prawej strony
PK34O3;samochód z lewej strony
PK34DO;B
PK35;W tej sytuacji rowerzysta:
PK35O1;przejeżdża pierwszy
PK35O2;ma pierwszeństwo przed samochodem z prawej strony
PK35O3;przejeżdża ostatni
PK35DO;C
PK36;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK36O1;samochód z prawej strony
PK36O2;rower
PK36O3;samochód z lewej strony
PK36DO;A
PK37;Który pojazd opuści to skrzyżowanie jako ostatni?
PK37O1;rower
PK37O2;samochód z prawej strony
PK37O3;uprzywilejowany
PK37DO;A
PK38;Który pojazd opuści to skrzyżowanie jako drugi?
PK38O1;uprzywilejowany
PK38O2;samochód z lewej strony
PK38O3;rower
PK38DO;C
PK39;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK39O1;pojazd z prawej strony – pojazd z lewej strony – rowerzysta
PK39O2;rowerzysta – pojazdy jadące prosto
PK39O3;pojazd z prawej strony – rowerzysta – pojazd z lewej strony
PK39DO;B
PK40;W tej sytuacji rowerzysta:
PK40O1;przejeżdża pierwszy
PK40O2;ma pierwszeństwo przed samochodem z prawej strony
PK40O3;przejeżdża ostatni
PK40DO;C
PK41;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK41O1;uprzywilejowany
PK41O2;rower
PK41O3;samochód z prawej strony
PK41DO;A
PK42;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK42O1;rower
PK42O2;samochód z lewej strony
PK42O3;samochód z prawej strony
PK42DO;A
PK43;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK43O1;pojazd z prawej strony – pojazd z lewej strony – rowerzysta
PK43O2;rowerzysta – pojazd z prawej strony – pojazd z lewej strony
PK43O3;pojazd z prawej strony – rowerzysta – pojazd z lewej strony
PK43DO;C
PK44;W tej sytuacji rowerzysta:
PK44O1;ma pierwszeństwo przed samochodem z prawej strony
PK44O2;przejeżdża pierwszy
PK44O3;ustępuje pierwszeństwa pojazdowi  z lewej strony
PK44DO;C
PK45;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK45O1;samochód osobowy
PK45O2;rower
PK45O3;autobus
PK45DO;A
PK46;Który pojazd opuści to skrzyżowanie jako ostatni?
PK46O1;samochód z prawej strony
PK46O2;rower
PK46O3;samochód z napisem STRAŻ  POŻARNA
PK46DO;C
PK47;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK47O1;uprzywilejowany
PK47O2;rower
PK47O3;samochód z prawej strony
PK47DO;A
PK48;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie (pojazd uprzywilejowany jedzie prosto):
PK48O1;rowerzysta – pojazd z prawej strony – pojazd uprzywilejowany
PK48O2;rowerzysta – pojazd uprzywilejowany – pojazd z prawej strony
PK48O3;pojazd uprzywilejowany i pojazd z prawej strony – rowerzysta
PK48DO;C
PK49;Który pojazd opuści to skrzyżowanie jako drugi?
PK49O1;samochód z prawej strony
PK49O2;samochód z lewej strony
PK49O3;rower
PK49DO;C
PK50;Który pojazd opuści to skrzyżowanie jako ostatni?
PK50O1;samochód z prawej strony
PK50O2;rower
PK50O3;samochód z lewej strony
PK50DO;C
PK51;W tej sytuacji rowerzysta:
PK51O1;ma pierwszeństwo przed samochodem z prawej strony
PK51O2;przejeżdża ostatni (włącza się do ruchu)
PK51O3;ma pierwszeństwo przed samochodem z lewej strony
PK51DO;B
PK52;Podaj prawidłową kolejność przejazdu Przez to skrzyżowanie (pojazd uprzywilejowany skręca w lewo):
PK52O1;rowerzysta – pojazd uprzywilejowany – pojazd z prawej strony
PK52O2;pojazd uprzywilejowany – rowerzysta – pojazd z prawej strony
PK52O3;pojazd uprzywilejowany – pojazd z prawej strony – rowerzysta
PK52DO;B
PK53;Który pojazd opuści to skrzyżowanie jako drugi?
PK53O1;samochód z prawej strony
PK53O2;rower
PK53O3;samochód z lewej strony
PK53DO;A
PK54;Który pojazd opuści to skrzyżowanie Jako drugi?
PK54O1;rower
PK54O2;tramwaj
PK54O3;motorower
PK54DO;A
PK55;Który pojazd opuści to skrzyżowanie jako ostatni?
PK55O1;tramwaj
PK55O2;rower
PK55O3;samochód z prawej strony
PK55DO;B
PK56;W tej sytuacji rowerzysta:
PK56O1;ma pierwszeństwo przed samochodem z prawej strony
PK56O2;przejeżdża pierwszy
PK56O3;przejeżdża ostatni
PK56DO;C
PK57;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK57O1;rower – motorower – tramwaj
PK57O2;tramwaj i rower – motorower
PK57O3;motorower – rower – tramwaj
PK57DO;B
PK58;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK58O1;samochód z prawej strony
PK58O2;tramwaj
PK58O3;rower
PK58DO;C
PK59;W tej sytuacji rowerzysta:
PK59O1;przejeżdża pierwszy
PK59O2;ma pierwszeństwo przed tramwajem z lewej strony
PK59O3;przejeżdża ostatni
PK59DO;C
PK60;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK60O1;tramwaj
PK60O2;rower
PK60O3;motorower
PK60DO;B
PK61;Który pojazd opuści to skrzyżowanie jako ostatni?
PK61O1;tramwaj z lewej strony
PK61O2;tramwaj z prawej strony
PK61O3;rower
PK61DO;C
PK62;Który pojazd opuści to skrzyżowanie jako drugi?
PK62O1;rower
PK62O2;motorower
PK62O3;tramwaj
PK62DO;A
PK63;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK63O1;pojazd uprzywilejowany – tramwaj – rower
PK63O2;tramwaj – pojazd uprzywilejowany – rower
PK63O3;pojazd uprzywilejowany – rower – tramwaj
PK63DO;C
PK64;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK64O1;rower – tramwaj – pojazd uprzywilejowany
PK64O2;tramwaj – pojazd uprzywilejowany – rower
PK64O3;pojazd uprzywilejowany – rower – tramwaj
PK64DO;C
PK65;W tej sytuacji rowerzysta:
PK65O1;ustępuje pierwszeństwa samochodowi z lewej strony
PK65O2;przejeżdża pierwszy
PK65O3;ustępuje pierwszeństwa pojazdowi uprzywilejowanemu
PK65DO;C
PK66;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK66O1;pojazd uprzywilejowany
PK66O2;tramwaj
PK66O3;rower
PK66DO;A
PK67;Który pojazd opuści to skrzyżowanie jako ostatni?
PK67O1;tramwaj
PK67O2;rower
PK67O3;samochód z lewej strony
PK67DO;B
PK68;Który pojazd opuści to skrzyżowanie jako drugi?
PK68O1;pojazd uprzywilejowany
PK68O2;tramwaj
PK68O3;rower
PK68DO;C
PK69;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK69O1;tramwaj – rower – pojazd uprzywilejowany
PK69O2;pojazd uprzywilejowany i tramwaj – rower
PK69O3;pojazd uprzywilejowany – rower – tramwaj
PK69DO;B
PK70;W tej sytuacji rowerzysta:
PK70O1;przejeżdża pierwszy
PK70O2;ma pierwszeństwo przed samochodem z lewej strony
PK70O3;przejeżdża ostatni
PK70DO;C
PK71;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK71O1;tramwaj
PK71O2;rower
PK71O3;samochód z lewej strony
PK71DO;B
PK72;Który pojazd opuści to skrzyżowanie jako ostatni?
PK72O1;rower
PK72O2;tramwaj
PK72O3;samochód z lewej strony
PK72DO;A
PK73;Który pojazd opuści to skrzyżowanie jako drugi?
PK73O1;motorower
PK73O2;tramwaj z lewej strony
PK73O3;rower
PK73DO;C
PK74;Który pojazd opuści to skrzyżowanie jako drugi?
PK74O1;tramwaj z lewej strony
PK74O2;rower
PK74O3;motorower
PK74DO;B
PK75;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK75O1;tramwaj
PK75O2;motorower
PK75O3;rower
PK75DO;C
PK76;Który pojazd opuści to skrzyżowanie jako ostatni?
PK76O1;rower
PK76O2;pojazd uprzywilejowany
PK76O3;tramwaj
PK76DO;C
PK77;W tej sytuacji rowerzysta:
PK77O1;przejeżdża ostatni
PK77O2;ustępuje pierwszeństwa motorowerowi
PK77O3;przejeżdża pierwszy
PK77DO;C
PK78;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK78O1;motorower – rower – tramwaj
PK78O2;motorower i tramwaj – rower
PK7803;tramwaj – rower – motorower
PK78DO;B
PK79;Który pojazd opuści to skrzyżowanie jako drugi?
PK79O1;tramwaj
PK79O2;rower
PK79O3;pojazd uprzywilejowany
PK79DO;B
PK80;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK80O1;pojazd uprzywilejowany z napisem POLICJA
PK80O2;pojazd uprzywilejowany z napisem STRAŻ POŻARNA
PK80O3;rower
PK80DO;A
PK81;W tej sytuacji rowerzysta:
PK81O1;przejeżdża pierwszy
PK81O2;ustępuje pierwszeństwa motorowerowi
PK81O3;musi czekać na zmianę świateł
PK81DO;B
PK82;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK82O1;pojazd uprzywilejowany z napisem STRAŻ POŻARNA – rower – pojazd uprzywilejowany z napisem POLICJA
PK82O2;pojazd uprzywilejowany z napisem POLICJA – rower – pojazd uprzywilejowany z napisem STRAŻ POŻARNA
PK82O3;pojazd uprzywilejowany z napisem POLICJA –  pojazd uprzywilejowany z napisem STRAŻ POŻARNA – rower
PK82DO;C
PK83;Który pojazd opuści to skrzyżowanie jako ostatni?
PK83O1;tramwaj
PK83O2;rower
PK83O3;pojazd uprzywilejowany
PK83DO;A
PK84;Który pojazd opuści to skrzyżowanie Jako ostatni?
PK84O1;pojazd uprzywilejowany
PK84O2;pojazd z lewej strony
PK84O3;rower
PK84DO;B
PK85;W tej sytuacji rowerzysta:
PK85O1;ustępuje pierwszeństwa pojazdowi uprzywilejowanemu
PK85O2;przejeżdża ostatni
PK85O3;ustępuje pierwszeństwa pojazdowi z lewej strony
PK85DO;A
PK86;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK86O1;pojazd uprzywilejowany z napisem POLICJA
PK86O2;rower
PK86O3;pojazd uprzywilejowany z napisem STRAŻ POŻARNA
PK86DO;C
PK87;Który pojazd opuści to skrzyżowanie jako ostatni?
PK87O1;motorower
PK87O2;pojazd uprzywilejowany
PK87O3;rower
PK87DO;A
PK88;Który pojazd opuści to skrzyżowanie jako drugi?
PK88O1;pojazd z napisem STRAŻ POŻARNA
PK88O2;rower
PK88O3;pojazd z prawej strony
PK88DO;B
PK89;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK89O1;rowerzysta na przejeździe – samochód osobowy – rowerzysta skręcający w lewo
PK89O2;samochód osobowy – rowerzysta na przejeździe – rowerzysta skręcający w lewo
PK89O3;rowerzysta skręcający w lewo – rowerzysta na przejeździe – samochód osobowy
PK89DO;A
PK90;W tej sytuacji rowerzysta skręcający w lewo:
PK90O1;przejeżdża pierwszy
PK90O2;ma pierwszeństwo przed rowerzystą na przejeździe
PK90O3;ustępuje pierwszeństwa rowerzyście na przejeździe
PK90DO;C
PK91;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK91O1;samochód straży pożarnej
PK91O2;pojazd uprzywilejowany z napisem POLICJA
PK91O3;rower
PK91DO;B
PK92;Który pojazd opuści to skrzyżowanie jako drugi?
PK92O1;pojazd uprzywilejowany z napisem POLICJA
PK92O2;tramwaj
PK92O3;rower
PK92D0;C
PK93;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK93O1;samochód osobowy –  rowerzysta skręcający w lewo – rowerzysta na przejeździe
PK93O2;rowerzysta skręcający w lewo – rowerzysta na przejeździe – samochód osobowy
PK93O3;rowerzysta na przejeździe –  rowerzysta skręcający w lewo – samochód osobowy
PK93DO;C
PK94;W tej sytuacji rowerzysta:
PK94O1;ustępuje pierwszeństwa pojazdowi z prawej strony
PK94O2;ustępuje pierwszeństwa pojazdowi nadjeżdżającemu z przeciwka
PK94O3;przejeżdża ostatni
PK94DO;B
PK95;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK95O1;rower
PK95O2;tramwaj
PK95O3;motorower
PK95DO;C
PK96;Który pojazd opuści to skrzyżowanie jako ostatni?
PK96O1;tramwaj z prawej strony
PK96O2;motorower
PK96O3;rower
PK96DO;A
PK97;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK97O1;tramwaj
PK97O2;motorower
PK97O3;rower
PK97DO;C
PK98;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK98O1;tramwaj z lewej strony – rower – motorower – tramwaj z prawej strony
PK98O2;tramwaj z prawej strony – rower – motorower – tramwaj z lewej strony
PK98O3;rower – tramwaj z prawej strony – motorower – tramwaj z lewej strony
PK98DO;A
PK99;Który pojazd opuści to skrzyżowanie jako drugi?
PK99O1;pojazd uprzywilejowany z napisem STRAŻ POŻARNA
PK99O2;rower
PK99O3;tramwaj
PK99DO;B
PK100;Który pojazd opuści to skrzyżowanie jako ostatni?
PK100O1;rower
PK100O2;tramwaj
PK100O3;pojazd uprzywilejowany z napisem STRAŻ POŻARNA
PK100DO;A
PK101;W tej sytuacji rowerzysta:
PK101O1;przejeżdża pierwszy
PK101O2;ustępuje pierwszeństwa tramwajowi
PK101O3;przejeżdża ostatni
PK101DO;B
PK102;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK102O1;rower – tramwaj – motorower
PK102O2;tramwaj – rower –motorower
PK102O3;motorower – rower – tramwaj
PK102DO;A
PK103;Który pojazd opuści to skrzyżowanie jako drugi?
PK103O1;rower
PK103O2;tramwaj
PK103O3;samochód osobowy
PK103DO;B
PK104;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK104O1;rowerzysta – samochód z lewej strony – samochód z prawej strony
PK104O2;samochód z prawej strony – rowerzysta – samochód z lewej strony
PK104O3;oba samochody równocześnie – rowerzysta
PK104DO;B
PK105;W tej sytuacji rowerzysta:
PK105O1;przejeżdża pierwszy
PK105O2;ustępuje pierwszeństwa pojazdowi z lewej strony
PK105O3;nie ma pierwszeństwa przed pojazdem z prawej strony
PK105DO;C
PK106;W tej sytuacji rowerzysta:
PK106O1;ustępuje pierwszeństwa pojazdowi z prawej strony
PK106O2;ustępuje pierwszeństwa pojazdowi z lewej strony
PK106O3;przejeżdża ostatni
PK106DO;A
PK107;W tej sytuacji rowerzysta:
PK107O1;przejeżdża ostatni
PK107O2;nie ma pierwszeństwa przed pojazdem z prawej strony
PK107O3;nie ma pierwszeństwa przed pojazdem z lewej strony
PK107DO;B
PK108;W tej sytuacji rowerzysta:
PK108O1;przejeżdża pierwszy
PK108O2;nie ustępuje pierwszeństwa pojazdowi z lewej strony
PK108O3;ustępuje pierwszeństwa pojazdowi z prawej strony
PK108DO;C
PK109;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK109O1;oba samochody równocześnie – rowerzysta
PK109O2;samochód z prawej strony - rowerzysta - samochód z lewej strony
PK109O3;samochód z lewej strony - rowerzysta - samochód z prawej strony
PK109DO;A
PK110;W tej sytuacji rowerzysta:
PK110O1;ma pierwszeństwo przed pojazdem z lewej strony
PK110O2;ma pierwszeństwo przed pojazdem z prawej strony
PK110O3;przejeżdża ostatni
PK110DO;A
PK111;W tej sytuacji rowerzysta:
PK111O1;ma pierwszeństwo przed pojazdem z lewej strony
PK111O2;ma pierwszeństwo przed pojazdem z prawej strony
PK111O3;przejeżdża ostatni
PK111DO;C
PK112;W tej sytuacji rowerzysta:
PK112O1;ma pierwszeństwo przed pojazdem z lewej strony
PK112O2;ma pierwszeństwo przed pojazdem z prawej strony
PK112O3;przejeżdża ostatni
PK112DO;A
PK113;W tej sytuacji rowerzysta:
PK113O1;ma pierwszeństwo przed pojazdem z prawej strony
PK113O2;ma pierwszeństwo przed pojazdem z lewej strony
PK113O3;przejeżdża pierwszy
PK113DO;B
PK114;W tej sytuacji rowerzysta:
PK114O1;ustępuje pierwszeństwa pojazdowi uprzywilejowanemu
PK114O2;przejeżdża pierwszy
PK114O3;ustępuje pierwszeństwa pojazdowi z prawej strony
PK114DO;A
PK115;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK115O1;pojazd uprzywilejowany – rowerzysta – samochód z lewej strony
PK115O2;samochód z lewej strony – rowerzysta – pojazd uprzywilejowany
PK115O3;pojazd uprzywilejowany – samochód z lewej strony – rowerzysta
PK115DO;A
PK116;W tej sytuacji rowerzysta:
PK116O1;ustępuje pierwszeństwa autobusowi
PK116O2;przejeżdża pierwszy
PK116O3;ustępuje pierwszeństwa pojazdowi z prawej strony
PK116DO;B
PK117;W tej sytuacji rowerzysta:
PK117O1;przejeżdża pierwszy
PK117O2;ustępuje pierwszeństwa pojazdowi z prawej strony
PK117O3;ustępuje pierwszeństwa pojazdowi z lewej strony
PK117DO;B
PK118;W tej sytuacji rowerzysta:
PK118O1;ma pierwszeństwa przed pojazdem nadjeżdżającym z przeciwka
PK118O2;przejeżdża ostatni
PK118O3;ustępuje pierwszeństwa pojazdowi z lewej strony
PK118DO;A
PK119;W tej sytuacji rowerzysta:
PK119O1;ustępuje pierwszeństwa pojazdowi nadjeżdżającemu z przeciwka
PK119O2;przejeżdża pierwszy
PK119O3;ustępuje pierwszeństwa pojazdowi z lewej strony
PK119DO;B
PK120;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK120O1;samochód z prawej strony – rowerzysta – autobus
PK120O2;rowerzysta – autobus – samochód z prawej strony
PK120O3;autobus – rowerzysta – samochód z prawej strony
PK120DO;B
PK121;W tej sytuacji rowerzysta:
PK121O1;nie może wjechać na skrzyżowanie
PK121O2;ma pierwszeństwo przed pojazdem z prawej strony
PK121O3;ma pierwszeństwo przed pojazdem z lewej strony
PK121DO;A
PK122;W tej sytuacji rowerzysta:
PK122O1;wcześniej opuści skrzyżowanie niż pojazd z prawej strony
PK122O2;przejeżdża pierwszy
PK122O3;ustępuje pierwszeństwa pojazdowi nadjeżdżającemu z przeciwka
PK122DO;C
PK123;W tej sytuacji rowerzysta:
PK123O1;ustępuje pierwszeństwa pojazdowi nadjeżdżającemu z przeciwka
PK123O2;przejeżdża drugi
PK123O3;wcześniej opuści skrzyżowanie niż pojazd z prawej strony
PK123DO;B
PK124;W tej sytuacji rowerzysta:
PK124O1;przejedzie pierwszy
PK124O2;ustępuje pierwszeństwa pojazdowi skręcającemu w prawo
PK124O3;ustępuje pierwszeństwa pojazdowi z prawej strony
PK124DO;A
PK125;W tej sytuacji rowerzysta:
PK125O1;przejedzie pierwszy
PK125O2;nie może wjechać na skrzyżowanie
PK125O3;ma pierwszeństwo przed pojazdem z lewej strony
PK125DO;B
PK126;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK126O1;rowerzysta – pojazd uprzywilejowany – pojazd z prawej strony
PK126O2;pojazd z prawej strony – pojazd uprzywilejowany – rowerzysta
PK126O3;pojazd uprzywilejowany – rowerzysta – pojazd z prawej strony
PK126DO;C
PK127;W tej sytuacji rowerzysta:
PK127O1;przejedzie ostatni
PK127O2;ma pierwszeństwo przed pojazdem z napisem POLICJA
PK127O3;ma pierwszeństwo przed pojazdem z prawej strony
PK127DO;A
PK128;W tej sytuacji rowerzysta:
PK128O1;przejedzie pierwszy
PK128O2;ustępuje pierwszeństwa pojazdowi z napisem POLICJA
PK128O3;ustępuje pierwszeństwa pojazdowi z prawej strony
PK128DO;A
PK129;W tej sytuacji rowerzysta:
PK129O1;ma pierwszeństwo przed pojazdem z prawej strony
PK129O2;ma pierwszeństwo przed pojazdem z lewej strony
PK129O3;przejedzie ostatni
PK129DO;C
PK130;W tej sytuacji rowerzysta:
PK130O1;przejedzie pierwszy
PK130O2;ustępuje pierwszeństwa pojazdowi z napisem POLICJA
PK130O3;ustępuje pierwszeństwa pojazdowi z prawej strony
PK130DO;B
PK131;Podaj prawidłową kolejność przejazdu Przez to skrzyżowanie:
PK131O1;rowerzysta – pojazd z lewej strony – pojazd z prawej strony
PK131O2;pojazd z lewej strony – rowerzysta – pojazd z prawej strony
PK131O3;pojazd z prawej strony – pojazd z lewej strony – rowerzysta
PK131DO;A
PK132;W tej sytuacji rowerzysta:
PK132O1;przejedzie ostatni
PK132O2;ustępuje pierwszeństwa pojazdowi z prawej strony
PK132O3;przejedzie pierwszy
PK132DO;C
PK133;W tej sytuacji rowerzysta:
PK133O1;przejedzie ostatni
PK133O2;ma pierwszeństwo przed pojazdem z prawej strony
PK133O3;ma pierwszeństwo przed pojazdem z lewej strony
PK133DO;A
PK134;W tej sytuacji rowerzysta:
PK134O1;przejeżdża pierwszy
PK134O2;ma pierwszeństwo przed samochodem z lewej strony
PK134O3;przejeżdża ostatni
PK134DO;C
PK135;W tej sytuacji rowerzysta:
PK135O1;przejeżdża pierwszy
PK135O2;ustępuje pierwszeństwa pojazdowi z prawej strony
PK135O3;przejeżdża ostatni
PK135DO;A
PK136;W tej sytuacji rowerzysta:
PK136O1;przejeżdża pierwszy
PK136O2;ma pierwszeństwo przed samochodem z lewej strony
PK136O3;przejeżdża ostatni
PK136DO;B
PK137;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK137O1;pojazd z prawej strony – pojazd z lewej strony – rowerzysta
PK137O2;rowerzysta – pojazd z lewej strony – pojazd z prawej strony
PK137O3;rowerzysta – pojazd z prawej strony – pojazd z lewej strony
PK137DO;B
PK138;W tej sytuacji rowerzysta:
PK138O1;przejeżdża pierwszy
PK138O2;ma pierwszeństwo przed samochodem z lewej strony
PK138O3;przejeżdża ostatni
PK138DO;C
PK139;W tej sytuacji rowerzysta:
PK139O1;przejeżdża pierwszy
PK139O2;ma pierwszeństwo przed samochodem z lewej strony
PK139O3;przejeżdża ostatni
PK139DO;B
PK140;W tej sytuacji rowerzysta:
PK140O1;przejeżdża pierwszy
PK140O2;ma pierwszeństwo przed samochodem z prawej strony
PK140O3;przejeżdża ostatni
PK140DO;C
PK141;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK141O1;pojazd uprzywilejowany i pojazd z lewej strony – rowerzysta
PK141O2;rowerzysta – pojazd uprzywilejowany – pojazd z lewej strony
PK141O3;pojazd uprzywilejowany – rowerzysta – pojazd z lewej strony
PK141DO;C
PK142;W tej sytuacji rowerzysta:
PK142O1;przejeżdża pierwszy
PK142O2;ma pierwszeństwo tylko przed samochodem z lewej strony
PK142O3;przejeżdża ostatni
PK142DO;A
PK143;W tej sytuacji rowerzysta:
PK143O1;przejeżdża pierwszy
PK143O2;ma pierwszeństwo przed samochodem z lewej strony
PK143O3;przejeżdża ostatni
PK143DO;C
PK144;W tej sytuacji rowerzysta:
PK144O1;nie ma pierwszeństwa przed samochodem z lewej strony
PK144O2;przejeżdża pierwszy
PK144O3;ustępuje pierwszeństwa pojazdowi z prawej strony
PK144DO;C
PK145;W tej sytuacji rowerzysta:
PK145O1;ma pierwszeństwo przed samochodem z lewej strony
PK145O2;ustępuje pierwszeństwa pojazdowi z lewej strony
PK145O3;ma pierwszeństwo przed samochodem z prawej strony
PK145DO;B
PK146;W tej sytuacji rowerzysta (Policja jedzie prosto):
PK146O1;ma pierwszeństwo przed samochodem z prawej strony
PK146O2;przejeżdża ostatni
PK146O3;ma pierwszeństwo przed samochodem z lewej strony
PK146DO;B
PK147;W tej sytuacji rowerzysta:
PK147O1;ma pierwszeństwo przed samochodem z prawej strony
PK147O2;ma pierwszeństwo przed samochodem z lewej strony
PK147O3;ustępuje pierwszeństwa pojazdowi z lewej strony
PK147DO;C
PK148;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie (samochód z lewej strony jedzie prosto):
PK148O1;samochody osobowe – rowerzysta
PK148O2;rowerzysta – pojazd z lewej strony – pojazd z prawej strony
PK148O3;pojazd z prawej strony  – rowerzysta – pojazd z lewej strony
PK148DO;A
PK149;W tej sytuacji rowerzysta:
PK149O1;ustępuje pierwszeństwa autobusowi
PK149O2;przejeżdża ostatni
PK149O3;ma pierwszeństwo przed autobusem
PK149DO;C
PK150;W tej sytuacji rowerzysta:
PK150O1;ma pierwszeństwo przed samochodem z lewej strony
PK150O2;przejeżdża ostatni
PK150O3;ma pierwszeństwo przed samochodem z prawej strony
PK150DO;A
PK151;W tej sytuacji rowerzysta:
PK151O1;ma pierwszeństwo przed samochodem z lewej strony
PK151O2;przejeżdża ostatni
PK151O3;ma pierwszeństwo przed samochodem z prawej strony
PK151DO;B
PK152;W tej sytuacji rowerzysta:
PK152O1;ustępuje pierwszeństwa pojazdowi z lewej strony
PK152O2;przejeżdża pierwszy
PK152O3;ma pierwszeństwo przed samochodem z lewej strony
PK152DO;A
PK153;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK153O1;rowerzysta – pojazd z lewej strony – pojazd z prawej strony
PK153O2;pojazd z lewej strony – rowerzysta – pojazd z prawej strony
PK153O3;pojazd z prawej strony – rowerzysta – pojazd z lewej strony
PK153DO;C
PK154;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK154O1;rower – tramwaje
PK154O2;tramwaje – rower
PK154O3;tramwaj z prawej strony – rower – tramwaj z lewej strony
PK154DO;B
PK155;W tej sytuacji rowerzysta:
PK155O1;ustępuje pierwszeństwa tramwajowi
PK155O2;przejeżdża pierwszy
PK155O3;przejeżdża ostatni
PK155DO;B
PK156;W tej sytuacji rowerzysta:
PK156O1;przejeżdża pierwszy
PK156O2;ma pierwszeństwo przed tramwajem z lewej strony
PK156O3;przejeżdża ostatni
PK156DO;C
